Post Shortcode,Commenter Username,Comment Text
C0QpqZ4tXOt,toni.oni89,thoni  qe  esht  shqiptar  po  ik  se  lan  nam  me  keto  lajme  dhe  qe  u  vesh  ca  ka  te  vacant  ketu
C0QpqZ4tXOt,alb1muca,Nuk esht Drake eshte Dritoni vllaj vet
C0QpqZ4tXOt,nejse00,na plasi kari se per vemendje e ka ba ky e shumica si puna ktij
C0QpqZ4tXOt,purppgram,Qr ma shum u permend bythziu se sa heronjt e kombit 💀🤷‍♂️
C0QpqZ4tXOt,drinitrupja,"e tani?ca duhet tbejm ne,kur vishemi ne kshu shqiptart na thon katundar 😅"
C0QpqZ4tXOt,tedutiron,Duhet me i shku me ja bo qoken se na ka rrespektu
C0QpqZ4tXOt,denno__666,I kan bo presion shqipet 🤣🤣🤣
C0QpqZ4tXOt,santjano_,Na ka emocionuar shum na u be mishi koqe koqe
C0QpqZ4tXOt,camerlengo_91,"Thash un edhe 1 shqiptar te mbetet ne kemb , do i msoje kto me bo shqiponjen 😂"
C0QpqZ4tXOt,frenki_genovese,@vin_plaku mere Drekun ndarke ta respektojm icik ke oxhaku
C0QpqZ4tXOt,shper_,Ka dal moda me kan shqiptar 😂
C0QpqZ4tXOt,ledio_calliku,Drejk hoxha
C0QpqZ4tXOt,kreshniklami,"Ata do e quanin ""Provokacia"" 😂"
C0QpqZ4tXOt,pecaku_eri,e ka sjell italija ne lezh bash me azil kurkusit tjer😂😂😂😂😂
C0QpqZ4tXOt,vdma_17,👏
C0QpqZ4tXOt,albion_shl,E tash ? Obobo na plasi fort k***
C0QpqZ4tXOt,levi_ak1_,Not a fan of drake but I rate him respect G
C0QpqZ4tXOt,00_bela01,Na keni qa ka***
C0QpqZ4tXOt,tulipan_tulipani,Sa mire po na perdorin flamurin keta spordhjaket 😢😢
C0QpqZ4tXOt,donald._.mara,Top G  Drake 🔥🔥
C0QpqZ4tXOt,dhoripoci,Mbase ka origjine Korcare 🤷🏼
C0QpqZ4tXOt,30paris2018,"Nuk eshte drake,eshte nje firme veshjesh qe e ka bere si reklame"
C0QpqZ4tXOt,akl.k69,Mua me shum me ngjan sikur esht klevio se sa noizi😂
C0QpqZ4tXOt,bxl.007,Kur ta bojn me origjin shqiptare dhe ket 😂
C0QpqZ4tXOt,shehukadri,"E kur të fillojnë shkijet dhe mediat serbe kundër Drake si ""provokacija"".😉🤣🤦‍♂️"
C0QpqZ4tXOt,elonakalori,👐🏻🇦🇱
C0QpqZ4tXOt,gentrit.sh1,Fell i kem rrajt be nanen
C0QpqZ4tXOt,erjon.selimi87,U be dhe ky shqipetar per nja 100000 euro😂
C0QpqZ4tXOt,k_l_o_d_i_a_n,NA KA EDHUR 10 MILEKA  TI EDHIM NJE 20CKE
C0QpqZ4tXOt,albertcekrezi5,Respekte drake 👏👏
